Method afiseazaListaClinici was called,2022-05-06 12:25:30.773
Method infoClinica was called,2022-05-06 12:25:42.471
Method afiseazaListaSpecializari was called,2022-05-06 12:25:51.095
Method adresaClinica was called,2022-05-06 12:25:56.328
Method afiseazaListaMedici was called,2022-05-06 12:26:02.883
Method afiseazaIstoricProgramari was called,2022-05-06 12:26:09.975
Method afiseazaListaClinici was called,2022-05-06 12:28:15.109
Method infoClinica was called,2022-05-06 12:28:27.154
Method afiseazaListaSpecializari was called,2022-05-06 12:28:30.122
Method afiseazaListaClinici was called,2022-05-06 12:32:45.487
Method infoClinica was called,2022-05-06 12:32:48.345
Method inregistrareProgramare was called,2022-05-06 12:33:21.671
Method afiseazaIstoricProgramari was called,2022-05-06 12:33:28.216
Method afiseazaIstoricProgramari was called,2022-05-06 12:36:28.038
Method afiseazaIstoricProgramari was called,2022-05-06 12:36:36.209
Method afiseazaListaMedici was called,2022-05-06 12:37:05.689
Method afiseazaIstoricProgramari was called,2022-05-06 12:37:09.466
