afiseazaListaClinici,2022-05-06 12:41:52.572
infoClinica,2022-05-06 12:42:10.273
afiseazaListaSpecializari,2022-05-06 12:42:19.157
adresaClinica,2022-05-06 12:42:27.313
afiseazaListaMedici,2022-05-06 12:42:31.965
afiseazaIstoricProgramari,2022-05-06 12:44:23.694
afiseazaListaClinici,2022-05-06 13:07:49.741
infoClinica,2022-05-06 13:07:54.822
afiseazaListaSpecializari,2022-05-06 13:08:01.021
adresaClinica,2022-05-06 13:08:05.324
afiseazaListaMedici,2022-05-06 13:08:10.065
afiseazaIstoricProgramari,2022-05-06 13:08:13.184
inregistrareProgramare,2022-05-06 13:15:05.775
afiseazaIstoricProgramari,2022-05-06 13:15:08.824
